metric,value
strategy_name,confirmed_spread
entry_signal_set,confirmed_only
start_date,2022-10-21
end_date,2026-03-27
rows,824
strategy_total_return,0.10515101031875473
strategy_annual_return,0.031049293567403158
strategy_max_drawdown,-0.025924892164622126
strategy_sharpe,0.9861299938226116
benchmark_total_return,0.20427793661083982
benchmark_annual_return,0.05849368592322235
benchmark_max_drawdown,-0.3922263435075599
benchmark_sharpe,0.35404541945985424
trade_count,7
trade_win_rate,0.5714285714285714
avg_holding_days,10.285714285714286
avg_trade_return,0.029295488118937056
