entry_date,exit_date,entry_price,exit_price,entry_regime,max_exposure,holding_days,trade_return,strategy_name,entry_signal_set
2023-10-25,2023-11-13,5778.9,6144.63,S0,0.8,13,0.06328713076883163,confirmed_spread,confirmed_only
2023-12-28,2024-01-08,5805.53,5543.57,S0,0.2,6,-0.04512249527605572,confirmed_spread,confirmed_only
2024-02-20,2024-03-12,5046.01,5496.36,S0,0.8,15,0.08924873315748472,confirmed_spread,confirmed_only
2025-01-17,2025-02-17,5841.57,6281.57,S0,0.8,15,0.07532221645893133,confirmed_spread,confirmed_only
2025-08-12,2025-08-22,6963.61,7362.94,S0,0.8,8,0.05734525626794151,confirmed_spread,confirmed_only
2025-12-10,2025-12-17,7408.24,7288.74,S1,0.8,5,-0.016130686910791225,confirmed_spread,confirmed_only
2026-02-10,2026-03-04,8250.3,8094.52,S2,0.8,10,-0.01888173763378287,confirmed_spread,confirmed_only
2023-10-25,2023-11-13,5778.9,6144.63,S0,0.8,13,0.06328713076883163,confirmed_spread_plus_panic,confirmed+panic
2023-12-28,2024-01-08,5805.53,5543.57,S0,0.2,6,-0.04512249527605572,confirmed_spread_plus_panic,confirmed+panic
2024-02-20,2024-03-12,5046.01,5496.36,S0,0.8,15,0.08924873315748472,confirmed_spread_plus_panic,confirmed+panic
2024-10-14,2024-10-28,5615.76,6082.09,S1,0.5,10,0.08303951735829163,confirmed_spread_plus_panic,confirmed+panic
2025-01-17,2025-02-17,5841.57,6281.57,S0,0.8,15,0.07532221645893133,confirmed_spread_plus_panic,confirmed+panic
2025-08-12,2025-08-22,6963.61,7362.94,S0,0.8,8,0.05734525626794151,confirmed_spread_plus_panic,confirmed+panic
2025-08-25,2025-09-01,7477.73,7501.15,S1,0.5,5,0.0031319665192510726,confirmed_spread_plus_panic,confirmed+panic
2025-12-10,2025-12-17,7408.24,7288.74,S1,0.8,5,-0.016130686910791225,confirmed_spread_plus_panic,confirmed+panic
2026-02-10,2026-03-04,8250.3,8094.52,S2,0.8,10,-0.01888173763378287,confirmed_spread_plus_panic,confirmed+panic
