instrument,position,volume,lastprice,updown,bprice,bamount,sprice,samount,fetch_time,instrument_id,end_month
MO2604-C-6600,74,39,1099.0,114.4,1088.6,1,1124.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-6700,59,20,1002.4,112.6,1007.6,1,1020.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-6800,48,12,908.4,102.0,914.0,1,923.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-6900,46,32,808.6,99.8,820.8,1,830.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7000,284,113,739.2,110.2,729.2,1,743.0,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7100,556,316,625.4,88.0,639.8,1,650.6,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7200,532,722,549.8,93.4,554.0,1,559.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7300,754,965,474.4,93.0,474.2,2,474.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7400,1659,3747,393.8,84.0,393.8,1,394.0,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7500,2583,6676,318.2,75.4,318.0,1,318.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7600,3248,12244,251.8,66.0,251.2,1,252.0,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7700,4252,17161,186.2,50.2,186.0,1,186.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7800,5684,19950,130.6,34.0,130.6,2,130.8,15,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-7900,5339,11572,91.0,25.0,90.8,1,91.0,20,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8000,9059,19010,59.8,15.0,59.8,1,60.0,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8100,6569,7988,36.2,9.2,36.0,13,36.4,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8200,6617,8031,22.4,5.8,22.4,9,22.6,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8300,7149,8048,14.6,4.0,14.4,3,14.8,5,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8400,5881,7757,9.2,1.8,8.8,4,9.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8500,6183,6333,7.4,1.2,7.4,40,7.6,7,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8600,3375,3856,5.6,1.2,5.6,2,5.8,8,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8700,2545,2689,4.8,1.0,4.8,11,5.0,7,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8800,3367,2231,4.4,1.0,4.4,4,4.6,5,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-8900,2378,1744,4.2,0.8,4.2,2,4.4,6,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9000,2480,1222,3.8,0.4,3.6,7,3.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9100,1078,773,3.4,0.4,3.4,3,3.6,6,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9200,904,805,3.4,0.6,3.2,3,3.4,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9300,1024,555,3.4,0.6,3.2,6,3.6,8,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9400,1687,625,3.0,2.0,3.0,2,3.2,7,2026-03-27 15:08:45,1000INDEX,2604
MO2604-C-9500,4339,1385,3.0,2.4,2.8,11,3.0,5,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-6600,4234,3908,16.6,-6.6,16.4,8,16.6,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-6700,2041,1873,21.8,-8.8,21.6,1,21.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-6800,1989,2135,28.4,-10.4,28.2,4,28.8,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-6900,1231,1805,35.0,-13.2,35.0,1,35.2,3,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7000,5737,8270,44.4,-16.8,44.2,1,44.6,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7100,4400,4341,53.8,-20.8,53.6,1,54.0,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7200,4805,5273,67.8,-26.2,67.6,1,67.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7300,3733,7723,84.8,-32.4,84.6,2,85.2,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7400,5189,10528,102.2,-43.4,101.8,1,102.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7500,4621,18522,126.6,-53.8,126.4,1,126.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7600,4507,16596,158.2,-65.0,158.2,1,158.4,3,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7700,3876,12581,188.4,-84.6,188.0,2,188.6,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7800,4454,5049,241.8,-89.8,241.4,1,241.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-7900,2758,3507,285.0,-118.4,284.6,1,290.0,5,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8000,3337,1244,367.6,-114.6,367.0,1,368.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8100,2527,694,443.6,-123.8,443.0,1,443.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8200,2026,699,524.6,-123.2,524.0,1,534.0,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8300,1777,427,613.2,-131.2,612.8,1,627.0,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8400,697,140,750.0,-94.2,710.0,1,721.6,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8500,557,77,819.6,-123.6,808.6,1,819.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8600,193,47,923.0,-118.0,908.6,1,917.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8700,138,51,1021.6,-116.4,1004.8,1,1016.2,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8800,240,26,1088.6,-149.0,1092.8,1,1130.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-8900,137,26,1219.8,-117.2,1195.0,2,1229.8,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9000,138,9,1327.6,-109.4,1296.6,1,1329.4,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9100,524,25,1420.2,-117.0,1396.2,1,1429.4,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9200,61,5,1555.4,-81.6,1494.6,1,1528.8,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9300,79,0,1723.2,-13.6,1597.0,1,1628.4,2,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9400,126,0,1828.0,-8.8,1696.8,1,1728.0,1,2026-03-27 15:08:45,1000INDEX,2604
MO2604-P-9500,111,8,1821.0,-115.0,1796.6,1,1828.0,1,2026-03-27 15:08:45,1000INDEX,2604
