trade_date,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2026/03/27,50ETF购4月2650,认购,2.65,2026/04/22 0:00,0.264
2026/03/27,50ETF沽4月2650,认沽,2.65,2026/04/22 0:00,0.0047
2026/03/27,50ETF购4月2700,认购,2.7,2026/04/22 0:00,0.2142
2026/03/27,50ETF沽4月2700,认沽,2.7,2026/04/22 0:00,0.0069
2026/03/27,50ETF购4月2750,认购,2.75,2026/04/22 0:00,0.17
2026/03/27,50ETF沽4月2750,认沽,2.75,2026/04/22 0:00,0.0103
2026/03/27,50ETF购4月2800,认购,2.8,2026/04/22 0:00,0.1266
2026/03/27,50ETF沽4月2800,认沽,2.8,2026/04/22 0:00,0.0169
2026/03/27,50ETF购4月2850,认购,2.85,2026/04/22 0:00,0.0875
2026/03/27,50ETF沽4月2850,认沽,2.85,2026/04/22 0:00,0.0275
2026/03/27,50ETF购4月2900,认购,2.9,2026/04/22 0:00,0.0546
2026/03/27,50ETF沽4月2900,认沽,2.9,2026/04/22 0:00,0.0446
2026/03/27,50ETF购4月2950,认购,2.95,2026/04/22 0:00,0.0303
2026/03/27,50ETF沽4月2950,认沽,2.95,2026/04/22 0:00,0.0703
2026/03/27,50ETF购4月3000,认购,3.0,2026/04/22 0:00,0.0169
2026/03/27,50ETF沽4月3000,认沽,3.0,2026/04/22 0:00,0.1061
2026/03/27,50ETF购4月3100,认购,3.1,2026/04/22 0:00,0.0041
2026/03/27,50ETF沽4月3100,认沽,3.1,2026/04/22 0:00,0.1931
2026/03/27,50ETF购4月3200,认购,3.2,2026/04/22 0:00,0.002
2026/03/27,50ETF沽4月3200,认沽,3.2,2026/04/22 0:00,0.2906
2026/03/27,50ETF购4月3300,认购,3.3,2026/04/22 0:00,0.0012
2026/03/27,50ETF沽4月3300,认沽,3.3,2026/04/22 0:00,0.3885
2026/03/27,50ETF购4月3400,认购,3.4,2026/04/22 0:00,0.0008
2026/03/27,50ETF沽4月3400,认沽,3.4,2026/04/22 0:00,0.4883
2026/03/27,50ETF购4月3500,认购,3.5,2026/04/22 0:00,0.0008
2026/03/27,50ETF沽4月3500,认沽,3.5,2026/04/22 0:00,0.5899
