date,open,high,low,close,volume
2024-06-24,274.8,303.6,233.0,233.0,62
2024-06-25,241.8,241.8,224.6,228.8,15
2024-06-26,228.0,263.2,224.0,263.2,42
2024-06-27,268.0,268.0,223.4,232.2,23
2024-06-28,240.2,261.4,226.6,230.0,49
2024-07-01,230.0,247.0,214.8,245.2,29
2024-07-02,231.4,231.4,227.0,229.4,6
2024-07-03,235.0,235.0,209.8,209.8,25
2024-07-04,214.0,214.0,181.6,181.6,62
2024-07-05,183.0,209.2,181.6,200.6,43
2024-07-08,182.8,183.4,165.8,171.6,23
2024-07-09,173.8,199.2,163.6,198.8,16
2024-07-10,196.2,213.8,194.6,198.2,68
2024-07-11,226.8,234.6,214.8,230.4,34
2024-07-12,229.2,235.0,226.4,227.0,10
2024-07-15,222.8,224.6,200.0,202.0,13
2024-07-16,202.6,202.6,190.0,193.0,9
2024-07-17,194.0,194.0,180.0,185.6,27
2024-07-18,173.0,199.4,166.2,194.0,45
2024-07-19,186.6,202.2,186.6,201.6,13
2024-07-22,203.6,205.6,192.4,192.4,8
2024-07-23,195.8,201.6,159.0,159.0,50
2024-07-24,162.0,162.0,140.4,140.4,51
2024-07-25,143.6,156.2,137.8,142.4,38
2024-07-26,149.2,166.4,149.2,163.8,29
2024-07-29,155.8,156.8,152.4,153.2,34
2024-07-30,149.0,158.4,145.0,155.2,15
2024-07-31,168.8,236.8,168.8,236.8,51
2024-08-01,229.6,229.6,216.4,216.4,12
2024-08-02,222.6,222.6,206.2,206.2,7
2024-08-05,221.4,224.0,185.4,185.4,68
2024-08-06,196.8,196.8,183.6,192.4,35
2024-08-07,186.4,188.6,186.4,187.0,6
2024-08-08,175.6,188.4,169.4,188.4,9
2024-08-09,176.0,176.0,174.8,174.8,2
2024-08-12,169.0,169.0,159.6,162.0,25
2024-08-13,158.8,164.4,158.8,164.4,9
2024-08-14,158.8,158.8,154.2,154.2,21
2024-08-15,148.8,178.8,148.8,165.8,20
2024-08-16,157.2,157.2,145.0,145.0,6
2024-08-19,161.8,162.6,147.4,147.4,6
2024-08-20,148.4,148.4,128.6,128.6,109
2024-08-21,135.2,135.2,126.4,126.4,47
2024-08-22,132.8,133.4,117.4,120.2,60
2024-08-23,122.2,127.4,115.8,121.6,62
2024-08-26,120.0,124.4,115.6,119.0,46
2024-08-27,115.0,117.8,105.4,111.6,67
2024-08-28,110.8,118.2,110.8,112.8,18
2024-08-29,110.0,137.8,110.0,128.6,62
2024-08-30,137.4,181.8,136.2,157.0,66
2024-09-02,147.2,152.0,127.0,127.0,30
2024-09-03,130.0,141.8,126.6,130.8,40
2024-09-04,123.8,139.2,123.8,128.6,30
2024-09-05,144.8,147.0,131.0,131.0,12
2024-09-06,134.6,134.6,113.6,113.6,58
2024-09-09,110.0,122.6,2.6,107.0,187
2024-09-10,108.6,122.0,101.8,116.4,60
2024-09-11,113.0,119.0,109.8,112.8,34
2024-09-12,123.8,127.8,110.0,110.6,52
2024-09-13,106.4,109.8,94.4,94.4,44
2024-09-18,92.4,98.6,85.0,92.4,68
2024-09-19,93.0,125.0,88.2,105.0,94
2024-09-20,102.2,102.2,92.2,98.0,26
2024-09-23,105.0,111.0,92.2,94.4,118
2024-09-24,110.0,146.6,100.2,146.4,111
2024-09-25,180.2,215.6,175.0,0.0,136
2024-09-26,175.8,274.4,168.8,274.4,158
2024-09-27,351.6,688.8,310.0,600.0,256
2024-09-30,822.4,1093.8,751.0,1030.2,107
2024-10-08,1470.0,1550.0,1181.0,1320.0,45
2024-10-09,1082.8,1250.0,898.4,918.8,49
2024-10-10,961.2,965.2,811.6,811.6,70
2024-10-11,777.2,777.2,659.8,687.6,37
2024-10-14,676.8,774.6,632.6,765.6,23
2024-10-15,769.8,769.8,659.6,660.0,52
2024-10-16,647.2,687.4,644.8,666.0,43
2024-10-17,704.2,718.6,642.0,642.0,15
2024-10-18,658.8,1044.8,658.8,891.2,71
2024-10-21,949.2,1009.0,911.8,925.2,118
2024-10-22,924.0,938.6,875.8,903.2,74
2024-10-23,940.8,990.8,904.8,904.8,97
2024-10-24,880.0,896.6,859.8,887.2,44
2024-10-25,916.0,1013.8,916.0,997.4,69
2024-10-28,1038.0,1044.8,1038.0,1041.8,11
2024-10-29,1089.0,1089.0,973.6,973.6,140
2024-10-30,978.2,1006.4,924.2,986.8,143
2024-10-31,980.2,1103.4,980.2,1077.4,57
2024-11-01,1030.0,1030.0,932.6,944.8,20
2024-11-04,931.6,998.6,931.6,998.6,14
2024-11-05,1056.8,1230.2,1056.8,1213.6,18
2024-11-06,1248.0,1262.4,1218.8,1227.4,12
2024-11-07,1224.2,1285.8,1221.4,1278.2,58
2024-11-08,1391.6,1422.8,1290.0,1290.0,211
2024-11-11,1321.4,1394.4,1315.2,1394.4,83
2024-11-12,1365.2,1395.6,1266.0,1280.2,99
2024-11-13,1290.8,1294.2,1218.2,1288.8,132
2024-11-14,1241.2,1244.0,1117.4,1118.2,70
2024-11-15,1147.4,1182.2,1022.8,1022.8,46
2024-11-18,1003.0,1005.0,876.2,894.4,83
2024-11-19,964.0,1029.8,917.0,1011.2,31
2024-11-20,1057.2,1108.0,1022.6,1100.6,28
2024-11-21,1097.4,1105.2,1077.4,1077.4,14
2024-11-22,1009.2,1009.2,891.2,891.2,6
2024-11-25,868.4,868.4,867.8,867.8,3
2024-11-26,862.0,862.4,862.0,862.4,4
2024-11-27,807.4,944.8,807.4,944.8,16
2024-11-28,984.2,984.2,984.2,984.2,5
2024-11-29,962.2,1106.6,962.2,1106.6,6
2024-12-02,1152.0,1161.0,1152.0,1156.0,6
2024-12-03,1117.0,1186.8,1117.0,1186.8,11
2024-12-04,1056.6,1056.6,1056.6,1056.6,1
2024-12-05,1095.4,1138.8,1095.4,1138.8,5
2024-12-06,1182.4,1213.0,1182.4,1213.0,3
2024-12-10,1314.0,1314.0,1195.0,1207.0,10
2024-12-11,1234.0,1284.2,1234.0,1267.8,15
2024-12-12,1269.6,1281.2,1242.6,1278.6,17
2024-12-13,1212.0,1214.0,1193.6,1209.2,7
2024-12-16,1127.2,1127.2,1113.2,1113.2,2
