date,open,high,low,close,volume
2025-12-22,752.2,752.2,725.0,725.0,5
2025-12-23,749.2,768.6,732.0,766.8,34
2025-12-24,710.4,722.2,649.8,649.8,26
2025-12-25,630.4,663.2,578.4,594.2,43
2025-12-26,569.0,582.6,536.6,565.0,51
2025-12-29,573.6,584.8,561.2,565.0,18
2025-12-30,602.8,602.8,550.8,575.0,46
2025-12-31,592.8,621.2,575.4,580.0,38
2026-01-05,513.4,513.4,462.2,462.2,13
2026-01-06,444.2,444.2,394.8,401.4,30
2026-01-07,396.4,402.8,369.6,375.6,194
2026-01-08,374.0,374.0,325.6,346.0,210
2026-01-09,318.6,324.2,246.0,249.4,239
2026-01-12,219.2,253.6,184.4,188.4,373
2026-01-13,212.0,234.0,197.2,208.2,537
2026-01-14,199.0,245.0,150.6,220.4,473
2026-01-15,232.0,232.0,202.4,208.4,551
2026-01-16,181.2,216.8,181.2,196.8,308
2026-01-19,200.6,207.0,156.8,174.0,906
2026-01-20,164.0,218.0,155.4,177.4,672
2026-01-21,179.2,192.0,137.4,145.8,1134
2026-01-22,125.0,149.6,125.0,136.2,497
2026-01-23,113.2,130.0,96.0,96.0,722
2026-01-26,95.2,160.0,84.6,143.2,707
2026-01-27,147.6,195.6,121.4,126.6,485
2026-01-28,126.6,150.6,119.6,127.4,736
2026-01-29,131.4,153.6,104.4,123.6,535
2026-01-30,130.0,238.0,129.0,153.0,762
2026-02-02,162.4,388.0,162.4,352.6,1282
2026-02-03,307.8,307.8,176.0,180.0,1382
2026-02-04,194.2,227.2,159.6,167.6,701
2026-02-05,189.8,258.8,182.0,211.0,1023
2026-02-06,280.0,304.0,184.6,231.2,1586
2026-02-09,168.0,173.6,133.8,136.6,782
2026-02-10,135.8,144.0,113.8,124.2,672
2026-02-11,117.4,129.4,104.0,126.8,725
2026-02-12,111.2,130.2,95.4,98.2,1296
2026-02-13,110.0,150.0,108.4,143.6,1407
2026-02-24,95.0,104.0,57.4,83.0,3787
2026-02-25,72.8,72.8,41.6,45.8,3341
2026-02-26,42.4,52.8,36.4,37.6,2053
2026-02-27,44.8,46.8,23.4,23.8,3416
2026-03-02,30.0,50.8,23.6,34.0,5090
2026-03-03,28.8,116.6,25.2,100.0,12325
2026-03-04,130.0,143.2,73.6,126.0,15843
2026-03-05,70.0,106.8,61.4,75.0,9213
2026-03-06,93.0,95.0,41.8,48.0,6623
2026-03-09,90.2,192.4,51.4,63.0,14008
2026-03-10,39.8,39.8,22.2,23.6,5932
2026-03-11,22.0,26.0,18.4,22.4,3112
2026-03-12,24.4,40.4,19.8,24.8,7089
2026-03-13,29.6,37.8,17.4,31.6,7155
2026-03-16,30.0,53.4,16.4,16.4,13344
2026-03-17,13.6,48.0,10.0,40.6,14989
2026-03-18,30.0,53.6,11.0,13.4,20908
2026-03-19,38.8,66.4,23.6,45.2,50552
2026-03-20,18.0,49.4,1.2,22.8,54295
